종목명,현재가,시가총액,PER,ROE
삼성전자,55200,3267640,11.15,9.03
SK하이닉스,175000,1274004,6.44,31.06
LG에너지솔루션,332000,776880,-76.25,-4.93
삼성바이오로직스,1073000,763697,70.49,10.45
현대차,186900,391399,4.06,12.43
한화에어로스페이스,834000,380147,17.77,53.94
삼성전자우,45750,373308,9.24,N/A
셀트리온,157900,352525,85.12,2.46
기아,87650,348560,3.59,19.09
KB금융,83500,328596,6.57,8.86
HD현대중공업,361000,320471,51.56,11.39
NAVER,194400,308002,16.32,7.90
신한지주,48600,244674,5.56,8.11
한화오션,78600,240841,45.59,11.52
현대모비스,242000,225048,5.57,9.35
메리츠금융지주,118100,218047,9.93,23.44
POSCO홀딩스,252000,203951,19.28,2.00
삼성물산,116300,197683,9.47,6.83
크래프톤,380000,182062,13.99,21.10
카카오,39250,174220,316.53,0.56
하나금융지주,60200,172919,4.68,9.11
삼성화재,356000,168654,8.68,13.11
HMM,19030,167662,3.76,15.35
삼성생명,83100,166200,7.89,6.18
두산에너빌리티,25700,164624,147.70,1.52
HD한국조선해양,230500,163132,13.91,11.16
한국전력,25300,162417,4.65,9.22
LG화학,216500,152832,-24.53,-2.11
고려아연,688000,142439,74.86,2.28
SK이노베이션,92800,140160,-4.37,-9.65
KT&G,114600,139884,12.77,12.66
우리금융지주,17070,126760,4.12,9.39
현대로템,115400,125950,30.95,21.85
SK텔레콤,58600,125867,10.09,10.83
KT,49550,124877,26.78,2.85
삼성중공업,14120,124256,193.42,1.77
삼성SDI,177000,121713,21.24,3.13
HD현대일렉트릭,329500,118775,23.68,39.34
기업은행,14760,117700,4.45,8.06
LG전자,70100,114717,34.50,1.81
SK스퀘어,82200,109776,3.01,21.70
카카오뱅크,21100,100642,22.86,6.95
LG,63700,100201,17.77,2.16
하이브,233000,97049,"1,035.56",0.31
포스코퓨처엠,124800,96674,-45.53,-7.98
SK,129400,93818,-7.34,-5.64
유한양행,114900,92160,132.22,3.41
삼성에스디에스,118500,91693,12.11,8.42
포스코인터내셔널,51100,89897,17.47,8.14
삼성전기,120100,89707,13.72,8.16
